"","gs_name","gs_id","gs_cat","gs_subcat","human_gene_symbol","species_name","entrez_gene","gene_symbol","sources"
"94","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","RB1","Homo sapiens",5925,"RB1",NA
"95","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","RBL1","Homo sapiens",5933,"RBL1",NA
"96","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","RBL2","Homo sapiens",5934,"RBL2",NA
"97","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","RBX1","Homo sapiens",9978,"RBX1",NA
"98","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","SFN","Homo sapiens",2810,"SFN",NA
"99","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","SKP1","Homo sapiens",6500,"SKP1",NA
"100","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","SKP2","Homo sapiens",6502,"SKP2",NA
"101","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","SMAD2","Homo sapiens",4087,"SMAD2",NA
"102","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","SMAD3","Homo sapiens",4088,"SMAD3",NA
"103","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","SMAD4","Homo sapiens",4089,"SMAD4",NA
"104","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","SMC1A","Homo sapiens",8243,"SMC1A",NA
"105","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","SMC1B","Homo sapiens",27127,"SMC1B",NA
"106","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","SMC3","Homo sapiens",9126,"SMC3",NA
"107","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","STAG1","Homo sapiens",10274,"STAG1",NA
"108","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","STAG2","Homo sapiens",10735,"STAG2",NA
"109","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","TFDP1","Homo sapiens",7027,"TFDP1",NA
"110","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","TFDP2","Homo sapiens",7029,"TFDP2",NA
"111","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","TGFB1","Homo sapiens",7040,"TGFB1",NA
"112","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","TGFB2","Homo sapiens",7042,"TGFB2",NA
"113","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","TGFB3","Homo sapiens",7043,"TGFB3",NA
"114","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","TP53","Homo sapiens",7157,"TP53",NA
"115","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","TTK","Homo sapiens",7272,"TTK",NA
"116","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","WEE1","Homo sapiens",7465,"WEE1",NA
"117","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","WEE2","Homo sapiens",494551,"WEE2",NA
"118","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","YWHAB","Homo sapiens",7529,"YWHAB",NA
"119","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","YWHAE","Homo sapiens",7531,"YWHAE",NA
"120","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","YWHAG","Homo sapiens",7532,"YWHAG",NA
"121","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","YWHAH","Homo sapiens",7533,"YWHAH",NA
"122","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","YWHAQ","Homo sapiens",10971,"YWHAQ",NA
"123","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","YWHAZ","Homo sapiens",7534,"YWHAZ",NA
"124","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ZBTB17","Homo sapiens",7709,"ZBTB17",NA
